Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017
Dominican Republic,DOM,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,22.72204985,22.93080024,22.5092553,23.65240065,25.95312493,27.13066044,28.40804858,
Algeria,DZA,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,15.20824113,13.71551063,14.02530668,16.49789106,18.35197828,21.72546998,23.0174862,
East Asia & Pacific (excluding high income),EAP,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,111.7483451,110.3959596,116.3553945,122.3301951,128.6053848,140.3336979,143.4301016,
Early-demographic dividend,EAR,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,41.64358763,41.97264207,43.05187583,43.93604653,45.67624912,47.72667202,48.5680632,
East Asia & Pacific,EAS,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,136.6569165,134.3610089,136.7964505,139.0435238,142.494956,149.3802006,153.5040319,
Europe & Central Asia (excluding high income),ECA,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,44.91847583,44.44382387,45.93823619,49.99156272,53.27770593,54.61758944,,
Europe & Central Asia,ECS,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,106.4712805,102.5602859,100.2674434,97.73065371,95.43393803,95.03976491,96.14762335,
Ecuador,ECU,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,24.56295044,25.34078208,26.13926176,26.5319555,27.16010666,27.24025517,29.15189321,
"Egypt, Arab Rep.",EGY,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,33.07229522,31.15492329,27.38844973,26.2224395,25.60668054,26.31639376,34.1487268,
Euro area,EMU,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,103.3850674,101.6458841,99.70918626,96.69397156,92.75952575,90.00941321,88.84950512,
Eritrea,ERI,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,15.9778517,13.90903268,,,,,,
Spain,ESP,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,170.7244191,166.752643,156.8512668,145.7537489,129.9036442,118.9949426,111.3395177,
Estonia,EST,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,92.96347113,78.07346955,72.84682719,69.40527816,68.23228055,69.92436835,71.93474553,
Ethiopia,ETH,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,,,,,,,,
European Union,EUU,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,114.4077425,110.9416892,108.8200102,104.6915774,99.8415071,97.41952649,94.7879903,
Fragile and conflict affected situations,FCS,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,14.63248788,14.88246411,15.40765143,16.36309638,17.76578438,20.64685808,,
Finland,FIN,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,88.62640299,89.89124748,92.34507715,93.3863813,93.55052221,95.25290938,94.82086126,
Fiji,FJI,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,83.4770863,75.41912196,76.80125559,74.88874654,78.88915143,84.06038378,88.49053552,
France,FRA,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,95.73175827,96.78329944,96.64138071,96.10794154,94.1837178,95.27158113,97.60464669,
Faroe Islands,FRO,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,,,,,,,,
"Micronesia, Fed. Sts.",FSM,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,20.61780226,19.54866006,19.40154301,19.72468094,21.25224136,22.92501706,22.79418095,
Gabon,GAB,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,8.20999632,9.52767106,11.30209597,15.01282085,14.54175251,14.63349378,13.63516051,
United Kingdom,GBR,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,187.9457262,173.2345196,163.4747359,152.0090108,137.3896814,132.7879954,134.4052011,
Georgia,GEO,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,34.01047414,35.24943196,37.88529695,43.30929679,48.91348373,54.55998103,61.85253071,
Ghana,GHA,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,15.28969538,15.05013643,15.64476439,17.07108301,19.90703864,20.44463061,19.58615287,
Gibraltar,GIB,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,,,,,,,,
Guinea,GIN,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,3.938059785,6.817841814,5.713529883,6.790017973,9.202662383,10.99157808,9.870903263,
"Gambia, The",GMB,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,15.38920648,16.33278348,15.67292432,15.27319298,13.03056041,,,
Guinea-Bissau,GNB,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,6.678548054,8.970987024,12.12778433,11.15391459,11.40520397,8.211175442,6.905409201,
Equatorial Guinea,GNQ,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,6.678536074,7.003216017,5.32783682,7.543207564,9.010117567,14.82813374,18.18489757,
Greece,GRC,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,111.5959762,117.1551551,116.8145581,118.1057013,116.1894607,112.8227353,108.7823196,
Grenada,GRD,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,83.97982287,84.87677179,82.80474466,74.25651989,65.20739537,57.32139876,54.00010632,
Greenland,GRL,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,,,,,,,,
Guatemala,GTM,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,23.83042995,23.57234361,31.6648137,32.60521449,32.99993354,34.3877179,34.29602276,
Guam,GUM,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,,,,,,,,
Guyana,GUY,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,37.0195431,37.8839083,40.84698502,44.60260537,49.16732113,42.06561822,44.73579046,
High income,HIC,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,147.9635496,142.1291225,142.8855434,145.9609463,145.4269729,146.0960245,148.9859068,
"Hong Kong SAR, China",HKG,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,185.5819127,202.2927455,198.5315051,218.1603921,233.2110012,207.8857192,203.7840318,
Honduras,HND,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,47.93392435,46.94019952,50.89725815,54.29521477,54.59019378,54.62970607,56.33312336,
Heavily indebted poor countries (HIPC),HPC,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,15.75983594,16.2993807,17.14061359,17.96013195,18.75669218,19.91310343,20.76901281,
Croatia,HRV,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,68.43709384,70.27530196,67.94761061,69.96421405,69.32627179,65.21858761,61.27109854,
Haiti,HTI,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,13.96513507,14.75822727,18.83568117,18.99445475,19.72344811,18.35000444,18.33683087,
Hungary,HUN,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,60.77064239,58.83341098,50.65862784,46.24359438,42.94344056,35.77320519,34.44830114,
IBRD only,IBD,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,72.19687339,73.20847479,77.88867411,82.64992861,88.58912568,98.64977441,103.9379329,
IDA & IBRD total,IBT,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,68.9786122,69.97484271,74.35993773,78.79762783,84.31834523,93.72607745,98.6605572,
IDA total,IDA,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,19.34052198,18.29979761,18.41279315,19.09656908,20.64209527,21.66159114,23.59491693,
IDA blend,IDB,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,18.36703078,16.29322807,15.6953167,16.30730416,17.25909369,17.2862702,18.63522292,
Indonesia,IDN,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,27.25304113,30.08219936,33.43417143,36.05813961,36.42354516,39.10053393,39.38628714,
IDA only,IDX,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,20.34769503,20.38784247,21.40502361,22.18633759,24.63064027,26.41857303,28.5114401,
Isle of Man,IMN,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,,,,,,,,
India,IND,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,51.13514945,51.28923313,51.88850765,52.38570952,51.97736669,52.20809484,49.77372836,
Not classified,INX,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,,,,,,,,
Ireland,IRL,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,133.165457,115.5297634,111.3048178,103.8872933,80.80769728,53.27025257,47.4497859,
"Iran, Islamic Rep.",IRN,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,52.02294982,53.09462632,53.35949435,47.74362842,52.11991451,59.77834413,66.06363695,
Iraq,IRQ,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,5.39309563,5.41445204,5.933516328,6.365686038,6.650612939,9.213422031,,
Iceland,ISL,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,165.5601073,141.4710756,122.252867,111.6467122,98.01271949,91.04605237,87.32087099,
Israel,ISR,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,93.37749705,91.22257839,90.63793649,65.99761757,66.33079786,66.67883462,65.58231689,
Italy,ITA,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,93.44328144,94.709016,94.40377123,91.30398989,88.91600782,87.51450002,85.71850379,
Jamaica,JAM,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,26.40784108,26.80485544,29.00152604,29.79381861,29.32610828,30.05235348,32.06404786,
Jordan,JOR,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,73.16499204,73.52914819,72.8957865,72.33396931,70.21644705,70.25226632,75.10992032,
Japan,JPN,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,173.5263181,172.9017304,175.0790977,180.2115405,180.5436852,181.5685827,184.9998939,
Kazakhstan,KAZ,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,39.29591691,35.14403295,35.88354073,34.86671229,33.52664211,37.7291069,33.36379218,
Kenya,KEN,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,27.22841511,30.57264326,29.53615688,31.71269855,34.13521265,34.37523909,32.85417099,
Kyrgyz Republic,KGZ,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,13.64448082,11.48827264,13.37110594,15.66249447,20.05196336,22.59570738,21.22951903,
Cambodia,KHM,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,27.5578668,28.25321834,38.78427816,44.72002559,54.08971949,63.10171957,69.65812553,
Kiribati,KIR,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,,,,,,,,
St. Kitts and Nevis,KNA,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,66.51176242,64.86175193,66.44555264,61.42537097,58.80525789,58.72115404,56.9537061,
"Korea, Rep.",KOR,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,135.9277756,138.1332928,136.6929994,134.9077955,138.3581705,140.0733007,143.3363906,
Kuwait,KWT,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,74.63939164,60.80624818,55.74337571,59.75184138,67.64064384,98.5107721,103.6156459,
Latin America & Caribbean (excluding high income),LAC,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,37.59220932,41.32626238,43.7057836,45.42226195,47.73020563,46.32453593,45.69001893,
Lao PDR,LAO,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,20.91926156,,,,,,,
Lebanon,LBN,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,82.58063631,89.65429925,90.25929416,95.07329831,98.76315187,101.5218641,107.2462234,
Liberia,LBR,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,14.81679707,16.44499015,16.00105892,19.58213809,18.47658837,20.63978033,,
Libya,LBY,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,9.335325106,19.68638985,,,,,,
St. Lucia,LCA,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,97.48409562,96.1853278,103.2743212,99.61514445,89.44398374,77.71984594,71.78527531,
Latin America & Caribbean,LCN,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,40.14042525,43.76976238,46.23733247,47.96489975,50.25114938,49.30879381,48.97742649,
Least developed countries: UN classification,LDC,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,19.67461116,19.79226016,21.02778016,21.76784234,23.76025771,25.91411247,27.33718361,
Low income,LIC,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,16.03903364,15.49582069,16.20868885,16.96129379,17.9249921,19.30107776,21.33908745,
Liechtenstein,LIE,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,,,,,,,,
Sri Lanka,LKA,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,25.51557649,35.01023871,35.01858242,34.75009427,35.87242253,41.59441681,45.97015665,
Lower middle income,LMC,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,39.71487689,39.57776427,39.89252721,40.74941303,41.37552971,42.57693941,43.54970962,
Low & middle income,LMY,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,69.24653851,70.17356549,74.64986799,79.19587174,84.8686744,94.46480489,99.54042132,
Lesotho,LSO,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,12.24905029,13.27301385,17.18091811,18.68111231,18.04858563,17.20755145,16.80682946,
Late-demographic dividend,LTE,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,90.61550367,89.33726383,94.7080906,99.6727656,106.1358079,120.1786368,128.5843794,
Lithuania,LTU,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,58.63850315,49.56623834,46.60514839,43.06318808,40.80617723,41.574579,42.96867951,
Luxembourg,LUX,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,90.88598453,86.43647859,88.15722763,91.49763998,89.6166216,95.38038415,102.3869981,
Latvia,LVA,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,95.46835549,78.04849794,64.8051302,58.0206128,51.21714944,48.74119599,67.63677583,
"Macao SAR, China",MAC,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,57.10986354,56.337927,57.78710451,62.52328117,76.76419639,107.3770382,118.099773,
St. Martin (French part),MAF,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,,,,,,,,
Morocco,MAR,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,66.86294743,70.45205642,71.63802517,68.20511273,68.30709103,63.93598878,64.04335659,
Monaco,MCO,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,,,,,,,,
Moldova,MDA,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,35.40171104,35.89681566,40.29281593,42.49843493,36.98514129,34.64537561,30.5568668,
Madagascar,MDG,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,11.58218858,10.95544196,10.8167722,11.86562046,12.57217448,13.38525403,13.14295373,
Maldives,MDV,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,47.68449272,42.42816365,35.11874638,31.2161621,28.9548998,29.99474617,31.68196785,
Middle East & North Africa,MEA,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,49.77846446,46.89029782,45.88230135,44.24375388,47.69872703,56.67901048,63.79266469,
Mexico,MEX,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,23.47691572,24.7493596,26.36621669,29.30399258,29.61713323,32.46339531,35.00636922,
Marshall Islands,MHL,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,,,,,,,,
Middle income,MIC,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,69.82575773,70.7827762,75.27990935,79.87831207,85.63707929,95.31960746,100.4163749,
"Macedonia, FYR",MKD,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,44.22496398,44.85228258,47.17397322,46.66336129,49.44827795,51.05285521,47.44115466,
Mali,MLI,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,15.95810418,16.49561558,17.45166369,19.09554044,20.55065681,23.5502002,25.46143364,
Malta,MLT,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,119.5795136,120.280623,113.3998593,106.2453468,99.5818857,91.90597528,86.66076165,
Myanmar,MMR,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,4.766953785,6.746762064,9.310266145,12.83852973,15.53723323,18.09357086,21.98517351,
Middle East & North Africa (excluding high income),MNA,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,38.75777003,39.71089598,38.8298571,35.69021279,37.98967892,42.09750646,53.13596127,
Montenegro,MNE,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,66.47150571,55.29411858,55.06009789,53.04875734,51.38621507,49.80128565,48.87538298,
Mongolia,MNG,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,34.15530972,43.45953276,43.70399825,61.54502873,59.67186021,54.7929321,58.57359236,
Northern Mariana Islands,MNP,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,,,,,,,,
Mozambique,MOZ,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,24.3305528,23.29049862,24.5222275,28.19437423,31.99912093,35.10832452,34.50196072,
Mauritania,MRT,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,23.71483954,21.72688687,23.10618355,,,,,
Mauritius,MUS,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,85.35512077,89.30543686,98.84754496,106.3064806,98.7708492,102.71541,96.36393644,
Malawi,MWI,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,13.82961932,13.93238573,14.5742627,12.45304171,11.40363665,12.25859373,10.46680829,
